frontier,turbulenceModel,chemistryMechanism,chemistryType,combustionModel,meshResolution,ContinuityErrors,ExecutionTime,VelocityMSE,TemperatureMSE,CO2MSE,CH4MSE,ContinuityErrors_sems,ExecutionTime_sems,VelocityMSE_sems,TemperatureMSE_sems,CO2MSE_sems,CH4MSE_sems
0,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379563074,0.0017675742391535436
1,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379563074,0.0017675742391535436
2,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379563074,0.0017675742391535436
3,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379563074,0.0017675742391535436
4,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
5,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
6,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
7,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
8,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
9,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379563074,0.0017675742391535436
10,kEpsilon,DRM22,EulerImplicit,EDC,4,0.0003370955402718465,872.9044216645045,0.019976612936942473,0.07534263692512341,0.18469878038292892,0.025919891714127563,1.0501502374525031e-06,15.770963533983014,0.0017985969703081166,0.0018599723600664767,0.0019329899379541614,0.0017675742391496183
11,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981612322,0.0019329878970625707,0.00176756636437558
12,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883238837e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
13,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
14,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883238837e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
15,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
16,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883238837e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
17,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
18,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
19,kEpsilon,GRI3,EulerImplicit,EDC,5,0.00034926615994185407,9644.749411119792,0.030300104466416247,0.03364465005822655,0.03940854970832597,0.0658791839571958,1.0501096883262158e-06,15.77097164417461,0.0017985883874596788,0.0018599667981632974,0.0019329878970625707,0.001767566364379505
